"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
8,35,-1,1,23814,37392,0.546969833811346,0.163869135167281,0.383100698644065
9,20,-1.2,0.3,13616,47590,0.614359863491812,0.231493800337479,0.382866063154333
10,25,-1.2,1,18056,43150,0.586205664727378,0.203344955820258,0.382860708907121
9,20,-1,0.8,14276,46930,0.609082810154226,0.226419907647206,0.38266290250702
7,25,-1.2,0.3,19596,41610,0.576063666913316,0.193486871976195,0.38257679493712
10,35,-1.5,0.6,22629,38577,0.559470258799927,0.176895737514294,0.382574521285633
6,35,-1.5,0.5,29538,31668,0.514761431498943,0.132215876089211,0.382545555409732
8,25,-1,0.5,17592,43614,0.588999458203777,0.206487965455799,0.382511492747978
7,20,-1,1,17843,43363,0.585923934596635,0.203590330652933,0.382333603943702
10,25,-1.2,0.8,17592,43614,0.588833721440782,0.20686557513208,0.381968146308702
10,20,-1.2,1,14432,46774,0.608211451459333,0.226294537380781,0.381916914078552
10,35,-1.5,0.5,21982,39224,0.563500147695261,0.181641404854582,0.381858742840679
9,30,-1,1,20520,40686,0.568691507804625,0.186840745943391,0.381850761861234
7,30,-1,0.6,21952,39254,0.559540637971589,0.177785800699466,0.381754837272123
7,40,-1.2,0.4,25212,35994,0.540091478549531,0.158369363194712,0.381722115354819
9,40,-1.2,1,25369,35837,0.53767624701338,0.156005682385094,0.381670564628286
10,20,-1.5,0.3,13529,47677,0.614170201712254,0.232526134024547,0.381644067687707
9,35,-1.2,0.4,21093,40113,0.567823028410812,0.186232338816916,0.381590689593896
7,35,-1.2,0.3,23172,38034,0.553017947703563,0.17155515431067,0.381462793392893
8,40,-1.2,0.4,23596,37610,0.551084923524863,0.169831811003719,0.381253112521144
7,35,-1,0.8,24709,36497,0.540240918240547,0.159269470933276,0.38097144730727
6,30,-1.5,0.5,27846,33360,0.524370307318066,0.143646751391799,0.380723555926268
7,20,-1.5,0.3,18837,42369,0.579178886007493,0.198456010986826,0.380722875020667
10,35,-1.5,0.4,21231,39975,0.567408505541061,0.186729241196139,0.380679264344922
8,30,-1,0.5,19752,41454,0.574047826748537,0.193521884513291,0.380525942235247
8,20,-1,0.6,15018,46188,0.602583578162014,0.222199619132222,0.380383959029791
7,25,-1,0.6,19717,41489,0.573025120623329,0.192675336613074,0.380349784010256
7,20,-1.2,0.5,17930,43276,0.584382360882998,0.204072534038155,0.380309826844843
9,30,-1,0.8,19946,41260,0.571800379565555,0.191715103179528,0.380085276386026
10,20,-1.2,0.8,14064,47142,0.6088901893844,0.228958716430106,0.379931472954295
10,30,-1.2,1,20592,40614,0.568182142316917,0.188471384121011,0.379710758195905
10,30,-1.2,0.8,20065,41141,0.571850446124208,0.192493002800285,0.379357443323923
9,25,-1,0.6,16822,44384,0.591063534925985,0.211802286986339,0.379261247939646
9,25,-1,0.5,16254,44952,0.595450287405772,0.216232962539472,0.3792173248663
7,40,-1,1,26584,34622,0.526200199709498,0.147109415475601,0.379090784233897
10,25,-1.2,0.5,16370,44836,0.595225066881629,0.216303578298112,0.378921488583518
6,30,-1.2,0.8,26922,34284,0.527455873958328,0.14859127941741,0.378864594540918
9,20,-1,0.6,13635,47571,0.609993817673643,0.231373781335719,0.378620036337924
6,40,-1.2,1,30701,30505,0.501131280920084,0.122528911012047,0.378602369908036
9,20,-1,0.5,13205,48001,0.612769404624485,0.234731618669961,0.378037785954524
6,40,-1.5,0.5,30597,30609,0.505993978798714,0.127957726437245,0.378036252361469
8,25,-1,0.4,16910,44296,0.589887465515122,0.211988618023478,0.377898847491645
8,35,-1,0.8,23124,38082,0.548633418478982,0.170997574524495,0.377635843954487
10,25,-1.2,0.6,16887,44319,0.590270694608552,0.21266369138966,0.377607003218892
8,20,-0.8,1,14166,47040,0.604376554622059,0.226848443598472,0.377528111023587
5,35,-1.5,1,34329,26877,0.480820755883746,0.103304921588174,0.377515834295572
7,20,-1,0.8,17314,43892,0.585883736121345,0.20844000736244,0.377443728758905
9,40,-1.2,0.8,24706,36500,0.539968984342302,0.162693249771532,0.37727573457077
8,20,-1,0.5,14543,46663,0.603515722033688,0.226244533601949,0.377271188431739
10,20,-1.2,0.5,13109,48097,0.613032468791836,0.235942650476665,0.377089818315171
7,30,-1,0.5,21219,39987,0.561833736480374,0.184751834667715,0.377081901812659
5,40,-1.5,1,35521,25685,0.472913395125677,0.0958830086664931,0.377030386459184
10,35,-1.5,0.3,20365,40841,0.570705174152294,0.193721583357015,0.376983590795279
10,25,-1.2,0.4,15787,45419,0.597159905829258,0.220264343780398,0.376895562048861
10,30,-1.2,0.5,18649,42557,0.579954740500532,0.203313607802928,0.376641132697604
10,20,-1.2,0.4,12658,48548,0.615391211147311,0.238814284442489,0.376576926704822
9,35,-1.2,0.3,20169,41037,0.570647937171415,0.194092143483862,0.376555793687553
8,30,-1,0.4,18961,42245,0.576297467733436,0.199834249472522,0.376463218260914
10,20,-1.2,0.6,13488,47718,0.609417272983914,0.233237430949457,0.376179842034457
7,25,-1,0.5,19059,42147,0.574837807310544,0.198701252805382,0.376136554505162
9,20,-1,0.4,12698,48508,0.614454419165993,0.238350360500242,0.376104058665751
7,20,-1.2,0.4,17316,43890,0.585157667856405,0.209213346109167,0.375944321747238
8,25,-0.8,1,17281,43925,0.582696758524536,0.206871985024687,0.375824773499848
9,25,-1,0.4,15615,45591,0.596663257985895,0.221035807501943,0.375627450483952
10,30,-1.2,0.6,19241,41965,0.574630292559141,0.199089603138703,0.375540689420438
10,30,-1.2,0.4,17957,43249,0.583262661040347,0.20783946291594,0.375423198124407
6,35,-1.2,0.8,28712,32494,0.51299516607166,0.137581499464955,0.375413666606705
9,30,-1,0.6,19057,42149,0.574483814840095,0.199173714407937,0.375310100432158
9,30,-1,0.5,18414,42792,0.579480519480376,0.204277917118035,0.375202602362341
10,40,-1.5,1,25308,35898,0.536396972679342,0.161385871839331,0.375011100840012
